Hour,Region,GPU_Use,Available_GPU,GPU_Utilization,AI_IT_Load_MW
2377,RegionC,232.83333333333331,540.0,0.4311728395061728,35.58
2378,RegionC,255.71666666666667,540.0,0.4735493827160494,38.55733333333333
2379,RegionC,251.4333333333333,540.0,0.46561728395061724,38.314666666666675
2380,RegionC,254.1,540.0,0.47055555555555556,36.010000000000005
2381,RegionC,250.36666666666667,540.0,0.463641975308642,33.41666666666666
2382,RegionC,253.0,540.0,0.4685185185185185,33.67999999999999
2383,RegionC,177.66666666666669,540.0,0.3290123456790124,23.026666666666667
2384,RegionC,100.5,540.0,0.18611111111111112,10.528000000000002
2385,RegionC,104.26666666666667,540.0,0.1930864197530864,9.942
2386,RegionC,178.63333333333333,540.0,0.33080246913580247,22.690666666666665
2387,RegionC,252.66666666666666,540.0,0.4679012345679012,35.213666666666654
2388,RegionC,257.8666666666667,540.0,0.4775308641975309,35.749333333333325
2389,RegionC,242.76666666666665,540.0,0.44956790123456786,34.35199999999999
2390,RegionC,250.66666666666666,540.0,0.4641975308641975,36.02133333333334
2391,RegionC,160.4,540.0,0.29703703703703704,22.378666666666664
2392,RegionC,179.81666666666666,540.0,0.3329938271604938,25.50533333333333
2393,RegionC,189.5,540.0,0.3509259259259259,26.43
2394,RegionC,133.5,540.0,0.24722222222222223,18.883000000000003
2395,RegionC,147.20000000000002,540.0,0.2725925925925926,21.224
2396,RegionC,243.41666666666666,540.0,0.45077160493827156,36.78766666666667
2397,RegionC,235.01666666666665,540.0,0.435216049382716,35.57333333333334
2398,RegionC,243.76666666666665,540.0,0.45141975308641974,36.70133333333334
2399,RegionC,250.33333333333334,540.0,0.46358024691358024,37.17333333333333
2400,RegionC,244.0,540.0,0.45185185185185184,36.620000000000005
2401,RegionC,261.65,540.0,0.484537037037037,40.112
2402,RegionC,219.9,540.0,0.4072222222222222,33.852000000000004
2403,RegionC,162.01666666666665,540.0,0.30003086419753083,25.048000000000002
2404,RegionC,146.0,540.0,0.27037037037037037,22.700000000000003
2405,RegionC,134.71666666666664,540.0,0.24947530864197526,21.092666666666666
2376,RegionD,468.3833333333333,1472.0,0.31819519927536233,71.56533333333333
2377,RegionD,634.0333333333333,1472.0,0.43072916666666666,99.31533333333333
2378,RegionD,708.7666666666668,1472.0,0.4814990942028986,111.89266666666668
2379,RegionD,691.3833333333333,1472.0,0.4696897644927536,106.78133333333335
2380,RegionD,658.5,1472.0,0.44735054347826086,101.68700000000003
2381,RegionD,696.4,1472.0,0.4730978260869565,108.18400000000003
2382,RegionD,708.2833333333333,1472.0,0.48117074275362315,109.02266666666667
2383,RegionD,692.0833333333334,1472.0,0.4701653079710145,106.35533333333335
2384,RegionD,603.6833333333334,1472.0,0.4101109601449276,93.91833333333332
2385,RegionD,643.7666666666668,1472.0,0.43734148550724644,100.05266666666667
2386,RegionD,592.4,1472.0,0.40244565217391304,88.464
2387,RegionD,669.6666666666667,1472.0,0.4549365942028986,101.32266666666666
2388,RegionD,587.5,1472.0,0.399116847826087,88.28000000000002
2389,RegionD,606.4333333333333,1472.0,0.4119791666666666,91.55866666666667
2390,RegionD,669.1,1472.0,0.45455163043478264,99.734
2391,RegionD,680.35,1472.0,0.4621942934782609,101.995
2392,RegionD,587.5333333333334,1472.0,0.39913949275362326,87.02033333333333
2393,RegionD,586.4666666666667,1472.0,0.39841485507246377,88.59266666666666
2394,RegionD,565.1333333333333,1472.0,0.38392210144927535,85.27333333333333
2395,RegionD,576.5833333333333,1472.0,0.39170063405797095,85.03266666666667
2396,RegionD,639.8666666666667,1472.0,0.43469202898550724,92.76766666666666
2397,RegionD,598.55,1472.0,0.4066236413043478,86.615
2398,RegionD,668.0166666666668,1472.0,0.45381567028985514,100.48266666666667
2399,RegionD,711.1,1472.0,0.4830842391304348,109.236
2400,RegionD,678.1333333333333,1472.0,0.46068840579710146,105.27333333333333
2401,RegionD,710.0999999999999,1472.0,0.48240489130434777,111.15499999999999
2402,RegionD,532.75,1472.0,0.3619225543478261,84.386
2403,RegionD,593.4166666666666,1472.0,0.40313632246376807,94.94666666666666
2404,RegionD,583.0,1472.0,0.3960597826086957,93.28
2405,RegionD,288.6333333333333,1472.0,0.19608242753623187,46.18133333333334
2376,RegionE,301.73333333333335,1012.0,0.29815546772068513,44.88133333333334
2377,RegionE,425.6666666666667,1012.0,0.42061923583662714,62.59333333333334
2378,RegionE,458.78333333333336,1012.0,0.4533432147562583,66.73899999999999
2379,RegionE,491.4,1012.0,0.48557312252964424,73.104
2380,RegionE,450.56666666666666,1012.0,0.4452239789196311,66.06666666666666
2381,RegionE,460.6666666666667,1012.0,0.4552042160737813,68.21466666666666
2382,RegionE,449.4833333333333,1012.0,0.4441534914361001,66.09733333333332
2383,RegionE,402.0,1012.0,0.39723320158102765,60.18000000000001
2384,RegionE,405.25,1012.0,0.40044466403162055,62.405
2385,RegionE,435.21666666666664,1012.0,0.43005599472990774,68.32066666666667
2386,RegionE,464.2833333333333,1012.0,0.45877799736495384,72.59333333333335
2387,RegionE,481.3333333333333,1012.0,0.4756258234519104,72.599
2388,RegionE,471.76666666666665,1012.0,0.4661725955204216,72.42866666666667
2389,RegionE,495.09999999999997,1012.0,0.48922924901185766,75.55600000000001
2390,RegionE,453.7,1012.0,0.44832015810276676,68.07600000000001
2391,RegionE,443.20000000000005,1012.0,0.4379446640316206,65.57800000000002
2392,RegionE,442.55,1012.0,0.437302371541502,66.05
2393,RegionE,446.3166666666667,1012.0,0.44102437417654816,68.884
2394,RegionE,439.6166666666667,1012.0,0.4344038208168643,67.79666666666668
2395,RegionE,413.6666666666667,1012.0,0.4087615283267457,64.99866666666668
2396,RegionE,462.1333333333334,1012.0,0.4566534914361002,71.96133333333333
2397,RegionE,484.5,1012.0,0.47875494071146246,73.2
2398,RegionE,444.06666666666666,1012.0,0.4388010540184453,64.93066666666667
2399,RegionE,443.16666666666663,1012.0,0.43791172595520417,65.45866666666667
2400,RegionE,498.1,1012.0,0.4921936758893281,77.007
2401,RegionE,432.7,1012.0,0.4275691699604743,66.752
2402,RegionE,463.2166666666667,1012.0,0.4577239789196311,72.64666666666668
2403,RegionE,455.48333333333335,1012.0,0.45008234519104084,72.36299999999999
2404,RegionE,436.7,1012.0,0.4315217391304348,69.65
2405,RegionE,376.5,1012.0,0.37203557312252966,60.239999999999995
2376,RegionF,292.0,966.0,0.3022774327122153,44.63066666666667
2377,RegionF,409.45,966.0,0.4238612836438923,63.291999999999994
2378,RegionF,346.9666666666667,966.0,0.3591787439613527,53.66866666666667
2379,RegionF,387.8666666666667,966.0,0.40151828847481025,60.25866666666666
2380,RegionF,334.68333333333334,966.0,0.3464630779848171,50.32266666666666
2381,RegionF,351.65000000000003,966.0,0.3640269151138717,54.37233333333333
2382,RegionF,379.5,966.0,0.39285714285714285,60.1
2383,RegionF,468.4,966.0,0.4848861283643892,74.324
2384,RegionF,335.8333333333333,966.0,0.3476535541752933,53.49133333333333
2385,RegionF,444.68333333333334,966.0,0.46033471359558314,70.50933333333333
2386,RegionF,436.4,966.0,0.45175983436853,68.464
2387,RegionF,465.08333333333337,966.0,0.4814527260179434,73.09333333333335
2388,RegionF,446.9,966.0,0.4626293995859213,70.224
2389,RegionF,357.75,966.0,0.3703416149068323,55.540000000000006
2390,RegionF,390.4,966.0,0.4041407867494824,60.37733333333333
2391,RegionF,429.41666666666663,966.0,0.44453071083505863,65.95766666666667
2392,RegionF,466.35,966.0,0.4827639751552795,72.418
2393,RegionF,476.0333333333333,966.0,0.49278812974465147,73.80533333333332
2394,RegionF,440.8833333333333,966.0,0.4564009661835749,67.80533333333334
2395,RegionF,425.25,966.0,0.44021739130434784,65.55199999999999
2396,RegionF,381.45,966.0,0.39487577639751553,58.836
2397,RegionF,324.23333333333335,966.0,0.33564527260179433,47.67733333333333
2398,RegionF,324.56666666666666,966.0,0.3359903381642512,46.772666666666666
2399,RegionF,431.25,966.0,0.44642857142857145,65.69200000000001
2400,RegionF,406.4666666666667,966.0,0.4207729468599034,63.472666666666655
2401,RegionF,433.1333333333333,966.0,0.4483781918564527,69.22133333333333
2402,RegionF,383.9166666666667,966.0,0.3974292615596964,61.42666666666666
2403,RegionF,453.0,966.0,0.468944099378882,72.47999999999999
2404,RegionF,453.0,966.0,0.468944099378882,72.47999999999999
2405,RegionF,346.68333333333334,966.0,0.3588854382332643,55.469333333333324
