,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,actual,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,point,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p05,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p50,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95,p95
2385,0.0,0.0,5.0,0.0,33.0,12.0,0.0,35.0,5.0,64.0,34.0,0.0,144.0,0.0,0.0,393.0,0.0,7.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,16.0,7.0,0.0,12.0,6.0,156.0,17.0,0.0,107.0,9.0,0.0,110.0,8.0,0.0,122.0,54.0,23.0,125.0,50.04999999999973,21.0,122.0,42.0,19.0,392.0,53.0,6.0,303.0499999999997,41.0,6.0,309.0499999999997,38.0,6.0
2386,0.0,15.0,6.0,113.0,51.0,18.0,0.0,14.0,5.0,116.0,60.0,4.0,101.0,17.0,0.0,114.0,12.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,16.0,7.0,0.0,12.0,6.0,154.0,17.0,0.0,106.0,9.0,0.0,106.0,8.0,0.0,122.0,50.0,23.0,121.0,51.0,20.0,119.0,44.0,18.0,398.0,52.0,6.0,314.0499999999997,41.0,7.0,307.0,39.0,6.0
2387,0.0,16.0,11.0,0.0,33.0,15.0,91.0,0.0,25.0,126.0,15.0,0.0,368.0,68.0,0.0,226.0,0.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,16.0,7.0,0.0,12.0,6.0,154.0,16.0,0.0,103.0,9.0,0.0,107.5,8.0,0.0,124.0,50.0,23.0,120.0,51.0,20.0,121.0,44.0,18.0,399.0,53.0,6.0,300.0,40.0,6.0,314.0,38.04999999999973,6.0
2388,103.0,85.0,15.0,0.0,10.0,1.0,0.0,18.0,0.0,59.0,33.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,16.0,7.0,0.0,12.0,6.0,150.0,16.0,0.0,104.0,9.0,0.0,106.0,7.0,0.0,122.0,52.0,23.0,122.0,51.0,20.0,121.0,45.0,19.0,381.0,52.0,6.0,303.0499999999997,42.0,7.0,315.0,37.0,6.0
2389,0.0,21.0,14.0,59.0,13.0,0.0,0.0,6.0,7.0,276.0,0.0,0.0,128.0,22.0,0.0,41.0,7.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,9.0,0.0,16.5,7.0,0.0,12.0,6.0,152.0,17.0,0.0,105.0,9.0,0.0,109.0,7.0,0.0,123.04999999999973,52.0,23.0,122.0,51.0,20.0,121.0,44.04999999999973,18.0,395.0499999999997,51.04999999999973,6.0,310.09999999999945,40.04999999999973,7.0,326.0499999999997,38.0,6.0
2390,0.0,16.0,0.0,0.0,30.0,8.0,0.0,0.0,7.0,299.0,54.0,0.0,517.0,16.0,0.0,87.0,15.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,17.0,7.0,0.0,12.0,6.0,149.0,16.0,0.0,104.0,10.0,0.0,110.5,7.0,0.0,119.0,52.0,23.0,121.04999999999973,52.0,21.0,122.0,43.0,18.0,400.0499999999997,53.0,6.0,315.0499999999997,40.0,6.0,311.0,37.0,6.0
2391,101.0,34.0,8.0,54.0,29.0,8.0,0.0,0.0,8.0,142.0,0.0,2.0,297.0,14.0,5.0,58.0,21.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,16.0,7.0,0.0,11.0,6.0,148.5,17.0,0.0,108.0,9.0,0.0,110.0,7.0,0.0,124.0,50.0,23.0,120.0,50.0,21.0,121.0,44.0,18.0,399.0,51.04999999999973,6.0,314.1999999999989,39.0,6.0,322.0,37.0,6.0
2392,0.0,53.0,6.0,0.0,8.0,3.0,18.0,14.0,2.0,221.0,29.0,0.0,104.0,9.0,5.0,250.0,0.0,1.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,17.0,7.0,0.0,12.0,6.0,151.0,16.0,0.0,110.0,8.0,0.0,105.0,7.0,0.0,120.04999999999973,51.0,23.0,120.0,51.0,20.0,119.0,45.0,18.0,395.0499999999997,53.0,6.0,313.0499999999997,40.0,7.0,305.1499999999992,37.0,6.0
2393,0.0,15.0,19.0,0.0,0.0,13.0,0.0,18.0,4.0,22.0,21.0,0.0,0.0,0.0,0.0,223.0,23.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,16.0,7.0,0.0,12.0,6.0,149.0,16.0,0.0,106.0,9.0,0.0,108.0,8.0,0.0,122.0,51.0,23.0,125.0,51.0,21.0,120.0,44.0,18.0,392.0,52.0,6.0,318.0499999999997,40.0,6.0,317.0,39.0,5.0
2394,0.0,16.0,4.0,0.0,61.0,17.0,0.0,0.0,0.0,214.0,41.0,0.0,261.0,17.0,0.0,339.0,17.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,16.0,7.0,0.0,13.0,6.0,154.0,16.0,0.0,106.0,8.0,0.0,112.0,8.0,0.0,123.0,52.0,22.0,121.0,52.04999999999973,21.0,122.0,44.04999999999973,18.0,394.0,50.0,6.0,313.0,38.0,7.0,317.0499999999997,39.0,6.0
2395,0.0,19.0,12.0,110.0,0.0,4.0,0.0,8.0,5.0,112.0,42.0,3.0,269.0,0.0,0.0,149.0,0.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,16.0,7.0,0.0,12.0,6.0,150.0,16.0,0.0,106.0,9.0,0.0,109.0,7.0,0.0,121.0,50.0,23.0,122.0,50.0,20.0,120.04999999999973,43.0,18.0,385.1499999999992,51.0,6.0,313.0,40.0,7.0,316.0,38.0,6.0
2396,95.0,6.0,16.0,51.0,17.0,14.0,0.0,25.0,7.0,176.0,59.0,0.0,105.0,16.0,0.0,121.0,14.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,16.0,7.0,0.0,12.0,6.0,148.0,16.0,0.0,109.0,8.0,0.0,108.0,7.0,0.0,121.0,53.0,23.0,123.04999999999973,50.0,20.0,121.0,44.0,18.0,396.0,52.0,6.0,317.0,39.0,7.0,311.0499999999997,40.0,6.0
2397,158.0,46.0,0.0,0.0,19.0,7.0,0.0,16.0,0.0,37.0,27.0,0.0,109.0,39.0,0.0,76.0,39.0,0.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,16.0,7.0,0.0,12.0,6.0,154.0,17.0,0.0,109.0,9.0,0.0,109.0,7.0,0.0,122.0,51.0,22.049999999999727,124.0,50.0,20.0,122.0,44.0,18.0,378.0,52.0,6.0,309.0499999999997,40.0,6.0,322.0,38.0,5.0
2398,0.0,0.0,15.0,44.0,21.0,7.0,16.0,0.0,12.0,381.0,11.0,8.0,161.0,30.0,0.0,122.0,36.0,3.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,16.0,7.0,0.0,12.0,6.0,150.0,17.0,0.0,106.5,10.0,0.0,107.5,8.0,0.0,122.0,52.0,23.0,123.0,50.0,20.0,118.0,44.0,19.0,390.0499999999997,50.04999999999973,6.0,318.0,39.0,7.0,319.0,39.0,6.0
2399,0.0,0.0,4.0,0.0,75.0,1.0,37.0,11.0,13.0,0.0,0.0,0.0,115.0,13.0,4.0,271.0,0.0,1.0,26.300925925925927,18.751262626262626,9.838804713804715,26.022306397306398,18.412037037037038,8.332912457912458,24.610690235690235,14.478535353535353,7.095538720538721,170.05765993265993,18.835858585858585,0.8261784511784511,121.13257575757575,12.241582491582491,1.093013468013468,122.66287878787878,11.337542087542088,0.8337542087542088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,16.0,7.0,0.0,12.0,6.0,150.0,17.0,0.0,106.0,8.0,0.0,108.0,8.0,0.0,124.0,51.0,23.0,125.0,52.0,20.0,121.0,44.0,18.0,392.0,52.04999999999973,6.0,318.0499999999997,40.0,6.0,322.0,38.0,6.0
