sol_id,cost_yuan,carbon_tco2,avg_latency_ms,renew_utilization
31,370646275.4598721,321900.6457192475,61306.146605912545,0.08508842092302127
32,372283378.97893894,326267.59839318355,45472.01728307834,0.0868102572009335
33,374098695.15451115,328717.9011339666,43333.94763490645,0.08758103906777592
34,371509257.4380248,323952.18330568605,55741.00831924063,0.08583495825553855
35,379067361.77158684,334795.005054046,28205.918388179987,0.08982444476966334
36,370997845.17030865,323973.16191580537,52192.020927570986,0.08596494460390935
37,511880584.2099907,414578.194888282,14136.898435600227,0.09256641569427193
38,515030775.24564993,416721.13590230106,10948.917139705685,0.09275770994683841
39,371263259.60151446,324233.7666269044,50681.04800043587,0.08612801853468932
40,488090229.8944374,396468.40508609964,16532.590664321473,0.09196695581557057
41,370229990.66684234,323746.1366835261,54115.027815690344,0.08582763294198648
42,511944365.946028,414965.7848644009,12492.848914858097,0.09280289662046293
43,371699079.77154547,323338.9700229666,53414.07860226217,0.08574821713418856
44,378346157.9122633,333706.59182342456,28429.014179064397,0.08938455545307067
45,371671549.7015611,324767.2481017657,52643.04070941337,0.08614823997734389
46,370712333.20278966,323624.58064972854,56576.09515196361,0.08559290963047261
47,377542687.6345931,332858.3802541862,35360.02607101453,0.08879839429140679
48,370855206.981301,321850.0153952876,59216.08246715849,0.08513113567451003
49,370640857.8443076,322626.4200828256,59960.04722488694,0.0852963548998048
50,372795095.90849847,327348.7519298054,46039.10904053026,0.08699062544441882
51,369955863.82475245,322678.19877950655,58015.081697016234,0.08525842388202898
52,371174130.19791216,324713.98929614417,51226.07746094177,0.08611410827391819
53,373996389.0162318,327176.8397201065,42873.08061144145,0.08707912239701376
54,373542164.1492407,327649.3548434845,42442.040312516954,0.08726986889381183
55,496384488.7944643,403291.2458694364,13967.498389261746,0.09218951489734506
56,508490582.880489,412503.8554622398,12797.758508434448,0.09251017496813563
57,520968564.90167695,421909.2559992192,11575.007711115291,0.09301056780953387
58,505009687.4769352,409421.012989701,14102.66397545616,0.09251212671708409
59,489285654.70821637,395082.5246648639,16091.597543528142,0.09185589082317958
60,374332574.53312266,328941.7032763264,41146.95135442935,0.0877137421012224
61,508490582.880489,412503.8554622398,12797.758508434448,0.09251017496813563
62,380614047.17764014,335755.68799942377,24255.01762764616,0.08995944157259439
63,486516246.0113289,395906.7439925798,16857.596041531473,0.09174108356892097
64,380744183.1741142,335961.50625138363,24581.00598416745,0.08999024452776694
65,372827811.5698471,326595.83846898336,44526.016105377515,0.08690801307005047
66,375717005.7066879,330514.5850357856,36646.03190512211,0.08822616936281469
67,497396818.75852716,403303.3837067032,14693.529185930192,0.09228389604724196
68,520070562.92304844,421275.1236867814,12096.929906165138,0.09284765790247396
69,374670412.1075764,329295.39028942725,40409.930122245416,0.08788519498974667
70,376323703.73665774,331145.3256601854,37663.032070365356,0.08844385830969836
71,373770667.1525367,328015.6077171668,44682.968630118354,0.08732703677904874
72,504824817.1198233,409726.1359312801,13217.699792960662,0.092486496162408
73,377223381.2213036,332187.1884231449,33431.982144780784,0.08873398247248665
74,377269674.54827887,331833.59389376454,34037.05137540453,0.0886418963560619
75,493850327.75275326,400395.22782104235,16146.58998894849,0.09210679307571257
76,374818664.9998022,329961.7295850661,39453.05740901213,0.08806539621403953
77,497147939.14220524,404625.0719634615,14174.470677219806,0.09228600671202514
78,520047099.12624973,421317.50844913896,12685.934620860082,0.09291165432045745
79,492545092.3001978,399232.4597820205,16148.540796194697,0.09194535588453412
